ZipCode,Price,Beds,Baths,LivingSpace,Address,City,State,ZipCodePopulation,ZipCodeDensity,County,MedianHouseholdIncome,Latitude,Longitude
80202,724900,1,2,1156,2001 LINCOLN ST UNIT 2623,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,989000,2,2,1600,1801 WYNKOOP ST APT 304,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,499900,1,1,862,1401 WEWATTA ST UNIT 812,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,2200000,3,4,3592,1020 15TH ST APT 42D,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,480000,1,1,670,1700 BASSETT ST UNIT 1407,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,849000,2,2,1447,2960 INCA ST UNIT 511,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,857956,2,2,1221,1700 BASSETT ST UNIT 912,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,599999,1,1,831,891 14TH ST UNIT 3807,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,319000,1,1,816,1020 15TH ST APT 18A,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,497000,1,1,906,1800 LAWRENCE ST APT 103,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,1050000,3,2,2402,2955 INCA ST UNIT 1H,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,335000,2,1,675,1750 WEWATTA ST UNIT 528,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,345000,1,1,797,1020 15TH ST APT 10A,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,599000,1,2,1320,1499 BLAKE ST APT 4G,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,1825000,2,3,1466,1901 WAZEE ST APT 504,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,350000,1,1,690,444 17TH ST APT 607,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,375000,2,2,986,1020 15TH ST APT 27E,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,675000,2,2,1142,2001 LINCOLN ST UNIT 1413,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,465000,2,1,1080,1777 LARIMER ST APT 801,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,439000,1,1,758,891 14TH ST UNIT 1905,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,817000,2,2,1594,1551 LARIMER ST APT 2402,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80202,975000,2,2,1742,1435 WAZEE ST APT 501,Denver,Colorado,16952,5660.6,Denver,153773,39.75156,-104.99768
80203,485000,2,2,1116,800 N WASHINGTON ST APT 1109,Denver,Colorado,20972,7410,Denver,89245,39.73142,-104.98274
